ReportID,Fecha,Supervisor,Turno,HorasEfectivas,ClimaAM,ClimaPM,PersonalTotal,InspeccionRealizada,DetallesSeguridad,Incidentes,Conflictos,Observaciones
REP-SYN-S-017,2026-06-17,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,39,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-018,2026-06-18,Ing. Alejandro Rivas,Mañana,5,Soleado,Soleado,39,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Paro de 2 horas por reunión sindical. Menor rendimiento en la jornada.,Reporte integral de seguridad - Retraso por medida de fuerza gremial.
REP-SYN-S-019,2026-06-19,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,41,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-020,2026-06-20,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,31,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-021,2026-06-21,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,27,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-022,2026-06-22,Ing. Alejandro Rivas,Mañana,10,Soleado,Soleado,30,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Ninguno. Jornada extendida autorizada para recuperar cronograma.,Reporte integral de seguridad - Alta productividad. Se superó la meta diaria en acabados.
REP-SYN-S-023,2026-06-23,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,26,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-024,2026-06-24,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,21,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-025,2026-06-25,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,24,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-026,2026-06-26,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,24,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-027,2026-06-27,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,24,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-028,2026-06-28,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,27,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-029,2026-06-29,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,21,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-030,2026-06-30,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,21,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
