ReportID,Fecha,Capitulo,Supervisor,Turno,HorasEfectivas,ClimaAM,ClimaPM,PersonalTotal,Conflictos,PlanProximoDia,Observaciones,NumActividades,NumMO,NumMateriales,NumEquipos
REP-SYN-0011,2026-06-08,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,14,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,3,0,2
REP-SYN-0012,2026-06-08,OBR-PRE,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,9,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,2,3,1,1
REP-SYN-0013,2026-06-09,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,12,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,3,0,2
REP-SYN-0014,2026-06-09,OBR-PRE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,8,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,1,3,1,1
REP-SYN-0015,2026-06-10,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,10,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,3,0,2
REP-SYN-0016,2026-06-10,OBR-PRE,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,7,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,1,3,1,1
REP-SYN-0017,2026-06-11,MOV-TIE,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,14,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,3,0,2
REP-SYN-0018,2026-06-12,MOV-TIE,Ing. Alejandro Rivas,Mañana,7,Soleado,Nublado,12,Incidente leve: resbalón de peón en zona de excavación. Atención en primeros auxilios.,Charla de seguridad reforzada. Continuar con acero de columnas.,Se reportó incidente sin baja laboral. Se reforzaron medidas de seguridad.,4,3,0,2
REP-SYN-0019,2026-06-13,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,13,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,3,0,2
REP-SYN-0020,2026-06-14,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,14,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,3,0,2
REP-SYN-0021,2026-06-15,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,26,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,1,4,4,2
REP-SYN-0022,2026-06-15,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,11,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,3,0,2
REP-SYN-0023,2026-06-16,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,20,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,2,4,4,2
REP-SYN-0024,2026-06-16,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,10,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,2,3,0,2
REP-SYN-0025,2026-06-17,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,25,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,2,4,4,2
REP-SYN-0026,2026-06-17,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,12,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,2,3,0,2
REP-SYN-0027,2026-06-18,EST-CON,Ing. Alejandro Rivas,Mañana,5,Soleado,Soleado,21,Paro de 2 horas por reunión sindical. Menor rendimiento en la jornada.,Normalización de actividades. Se programarán horas extras compensatorias.,Retraso por medida de fuerza gremial.,3,4,4,2
REP-SYN-0028,2026-06-18,MOV-TIE,Ing. Alejandro Rivas,Mañana,5,Soleado,Soleado,14,Paro de 2 horas por reunión sindical. Menor rendimiento en la jornada.,Normalización de actividades. Se programarán horas extras compensatorias.,Retraso por medida de fuerza gremial.,2,3,0,2
REP-SYN-0029,2026-06-19,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,22,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,4,4,2
REP-SYN-0030,2026-06-19,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,13,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,1,3,0,2
REP-SYN-0031,2026-06-20,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,28,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,4,4,2
REP-SYN-0032,2026-06-20,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,11,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,1,3,0,2
REP-SYN-0033,2026-06-21,EST-CON,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,28,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,4,4,2
REP-SYN-0034,2026-06-22,EST-CON,Ing. Alejandro Rivas,Mañana,10,Soleado,Soleado,23,Ninguno. Jornada extendida autorizada para recuperar cronograma.,Continuar con instalación de pisos y acabados.,Alta productividad. Se superó la meta diaria en acabados.,4,4,4,2
REP-SYN-0035,2026-06-23,EST-CON,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,23,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,4,4,2
REP-SYN-0036,2026-06-24,EST-CON,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,27,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,4,4,2
REP-SYN-0037,2026-06-25,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,26,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,4,4,2
REP-SYN-0038,2026-06-26,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,22,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,4,4,2
REP-SYN-0039,2026-06-27,EST-CON,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,29,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,4,4,2
REP-SYN-0040,2026-06-28,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,24,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,4,4,2
REP-SYN-0041,2026-06-29,EST-CON,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,27,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,4,4,2
REP-SYN-0042,2026-06-30,EST-CON,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,27,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,4,4,2
